user_id,item_id,ts,y,weight,label_source,split
"""clem""",tt1839492,2018-06-21,1,0.8868331849957539,explicit_rating,train
"""clem""",tt1467304,2018-07-14,0,0.9431507021546,explicit_rating,train
"""clem""",tt1622979,2018-08-15,1,1.2256337046933075,explicit_rating,train
"""clem""",tt3262342,2019-08-14,1,0.8022850035324387,explicit_rating,train
"""clem""",tt2884206,2020-06-02,1,0.7464399516021829,explicit_rating,val
"""clem""",tt1306980,2020-06-22,1,1.0023212837776474,explicit_rating,test
#1 gizmo fan,tt2872718,2014-10-31,1,1.1197695149576081,explicit_rating,train
#1 gizmo fan,tt0114814,2016-06-02,1,1.0234135614154076,explicit_rating,train
#1 gizmo fan,tt0097165,2016-08-01,1,1.1340118157952253,explicit_rating,train
#1 gizmo fan,tt0093058,2016-08-14,1,1.060872076885772,explicit_rating,train
#1 gizmo fan,tt1865505,2016-08-14,1,0.8385533620534341,explicit_rating,train
#1 gizmo fan,tt0116282,2016-08-16,1,1.1427463256545425,explicit_rating,train
#1 gizmo fan,tt2400463,2016-08-17,1,0.9896101915133835,explicit_rating,train
#1 gizmo fan,tt1798709,2016-08-18,1,1.082652167385656,explicit_rating,train
#1 gizmo fan,tt0120586,2016-08-19,1,1.0521919212544206,explicit_rating,train
#1 gizmo fan,tt1232829,2016-08-20,1,1.2010575903586906,explicit_rating,train
#1 gizmo fan,tt1065073,2016-08-23,1,0.885071473546726,explicit_rating,train
#1 gizmo fan,tt3824458,2016-08-27,1,1.062931246316642,explicit_rating,train
#1 gizmo fan,tt4160708,2016-08-27,1,0.8349354678584272,explicit_rating,train
#1 gizmo fan,tt0993846,2016-08-28,1,1.2198509657737715,explicit_rating,train
#1 gizmo fan,tt2582496,2016-08-29,1,1.0540136078372118,explicit_rating,train
#1 gizmo fan,tt0091042,2016-08-30,1,1.1538891055975031,explicit_rating,train
#1 gizmo fan,tt0206634,2016-08-30,1,0.9781065053338878,explicit_rating,train
#1 gizmo fan,tt0120382,2016-08-31,1,1.1288010909108432,explicit_rating,train
#1 gizmo fan,tt0467406,2016-09-03,1,1.182896167608664,explicit_rating,train
#1 gizmo fan,tt2381111,2016-09-03,1,0.9543817047046842,explicit_rating,train
#1 gizmo fan,tt0338013,2016-09-04,1,1.3429842758701147,explicit_rating,train
#1 gizmo fan,tt0066921,2016-09-06,1,1.3041786698687499,explicit_rating,train
#1 gizmo fan,tt5022702,2016-09-11,1,1.0955418282471991,explicit_rating,train
#1 gizmo fan,tt0045810,2016-09-14,1,1.0781563845198605,explicit_rating,train
#1 gizmo fan,tt0073486,2016-09-15,1,1.230662994808452,explicit_rating,train
#1 gizmo fan,tt2326554,2016-09-16,1,1.1603715128053447,explicit_rating,train
#1 gizmo fan,tt0139134,2016-09-17,1,1.2411903729480707,explicit_rating,train
#1 gizmo fan,tt0405159,2016-09-18,1,1.2342454639764153,explicit_rating,train
#1 gizmo fan,tt2370248,2016-09-18,1,0.8075817026888635,explicit_rating,train
#1 gizmo fan,tt0375063,2016-09-19,1,0.9708568219777358,explicit_rating,train
#1 gizmo fan,tt0083658,2016-09-24,1,0.9744443946637448,explicit_rating,train
#1 gizmo fan,tt0274812,2016-09-26,1,1.1881611368697416,explicit_rating,train
#1 gizmo fan,tt3544112,2016-10-08,1,1.0882416809979334,explicit_rating,train
#1 gizmo fan,tt3631112,2016-10-09,0,0.8157485013965989,explicit_rating,train
#1 gizmo fan,tt2140479,2016-10-16,1,1.0483697060833186,explicit_rating,train
#1 gizmo fan,tt0075314,2016-10-19,1,1.0335164884567352,explicit_rating,train
#1 gizmo fan,tt0090756,2016-10-25,1,1.2208157027798374,explicit_rating,train
#1 gizmo fan,tt0120363,2016-10-31,1,1.1734109315676151,explicit_rating,train
#1 gizmo fan,tt1289401,2016-11-02,1,0.8672109633026713,explicit_rating,train
#1 gizmo fan,tt1392214,2016-11-07,1,1.3396607376095535,explicit_rating,train
#1 gizmo fan,tt3183660,2016-11-20,0,0.9976823415046916,explicit_rating,train
#1 gizmo fan,tt0780504,2016-11-27,1,1.262448357221426,explicit_rating,train
#1 gizmo fan,tt1306980,2016-11-28,1,0.9666032794570776,explicit_rating,train
#1 gizmo fan,tt1602613,2016-11-29,1,0.8516249827676715,explicit_rating,train
#1 gizmo fan,tt1706620,2016-12-01,1,0.8998031709931569,explicit_rating,train
#1 gizmo fan,tt2562232,2016-12-08,1,1.1191403913399438,explicit_rating,train
#1 gizmo fan,tt1791528,2016-12-10,1,0.8949684689538622,explicit_rating,train
#1 gizmo fan,tt0811080,2016-12-12,1,1.2442349972209148,explicit_rating,train
#1 gizmo fan,tt3721936,2016-12-14,1,0.8985316086177629,explicit_rating,train
#1 gizmo fan,tt2119532,2016-12-17,1,0.9522968090668706,explicit_rating,train
#1 gizmo fan,tt0947798,2016-12-18,1,1.214261079603627,explicit_rating,train
#1 gizmo fan,tt4034228,2016-12-18,1,1.1796804722145637,explicit_rating,train
#1 gizmo fan,tt2334873,2016-12-22,1,1.179859264879894,explicit_rating,train
#1 gizmo fan,tt1619029,2016-12-24,1,1.011124849461023,explicit_rating,train
#1 gizmo fan,tt3397884,2016-12-25,1,1.0883145886074783,explicit_rating,train
#1 gizmo fan,tt5311514,2016-12-28,1,1.2060782645897334,explicit_rating,train
#1 gizmo fan,tt0034583,2016-12-30,1,1.2974354131046566,explicit_rating,train
#1 gizmo fan,tt0046250,2017-01-01,1,1.1724302820098802,explicit_rating,train
#1 gizmo fan,tt1127180,2017-01-01,1,0.9844788522597552,explicit_rating,train
#1 gizmo fan,tt1974419,2017-01-03,0,0.9730213690156423,explicit_rating,train
#1 gizmo fan,tt0424136,2017-01-04,1,0.9982714560733202,explicit_rating,train
#1 gizmo fan,tt2479800,2017-01-07,1,1.255362677037602,explicit_rating,train
#1 gizmo fan,tt0166924,2017-01-08,1,1.2523095357333571,explicit_rating,train
#1 gizmo fan,tt2278871,2017-01-08,1,0.9648997308871666,explicit_rating,train
#1 gizmo fan,tt0147800,2017-01-15,1,1.1919241019199827,explicit_rating,train
#1 gizmo fan,tt0490215,2017-01-16,1,0.9673532188188229,explicit_rating,train
#1 gizmo fan,tt0053198,2017-01-18,1,1.205377115892234,explicit_rating,train
#1 gizmo fan,tt2401878,2017-01-21,1,0.8868331849957539,explicit_rating,train
#1 gizmo fan,tt4016934,2017-01-27,1,1.033739645334368,explicit_rating,train
#1 gizmo fan,tt0086979,2017-01-31,1,0.9480226458535599,explicit_rating,train
#1 gizmo fan,tt0115734,2017-02-07,1,1.0306938088814965,explicit_rating,train
#1 gizmo fan,tt0114436,2017-02-10,1,1.1237023999545932,explicit_rating,train
#1 gizmo fan,tt2692904,2017-02-11,1,0.9914827897072341,explicit_rating,train
#1 gizmo fan,tt4062536,2017-02-13,1,0.9298451014307911,explicit_rating,train
#1 gizmo fan,tt0090605,2017-02-14,1,1.1361890216075181,explicit_rating,train
#1 gizmo fan,tt4262980,2017-02-17,1,1.0177322210891098,explicit_rating,train
